10000.0000,6.5602
10000.0500,-1.2825
10000.1000,7.4502
10000.1500,7.9440
10000.2000,0.1868
10000.2500,-3.8726
10000.3000,5.1559
10000.3500,-11.7181
10000.4000,2.7733
10000.4500,-10.9401
10000.5000,3.1526
10000.5500,-6.6542
10000.6000,9.4148
10000.6500,1.0216
10000.7000,-3.2177
10000.7500,1.2154
10000.8000,7.0958
10000.8500,-2.2801
10000.9000,1.5991
10000.9500,2.5845
10001.0000,3.1934
10001.0500,-1.0312
10001.1000,-0.8497
10001.1500,-2.8693
10001.2000,-10.0159
10001.2500,0.3518
10001.3000,6.1767
10001.3500,0.9407
10001.4000,3.1351
10001.4500,4.4679
10001.5000,3.0547
10001.5500,-3.8829
10001.6000,-0.5226
10001.6500,-6.0743
10001.7000,-4.2209
10001.7500,3.5746
10001.8000,1.6335
10001.8500,2.8105
10001.9000,6.6835
10001.9500,-3.7453
10002.0000,-5.7720
10002.0500,4.9212
10002.1000,4.7260
10002.1500,-4.4429
10002.2000,0.5517
10002.2500,0.9249
10002.3000,-9.5147
10002.3500,1.4928
10002.4000,2.8321
10002.4500,1.0221
10002.5000,3.7777
10002.5500,-0.9402
10002.6000,2.1604
10002.6500,-3.6260
10002.7000,-1.3657
10002.7500,0.0316
10002.8000,-2.9983
10002.8500,-0.5369
10002.9000,-3.1850
10002.9500,-6.4946
10003.0000,-10.0930
10003.0500,-6.9879
10003.1000,-1.4085
10003.1500,-3.9183
10003.2000,-2.7541
10003.2500,-6.5533
10003.3000,4.2352
10003.3500,4.7014
10003.4000,6.1532
10003.4500,4.1494
10003.5000,-9.1058
10003.5500,7.7720
10003.6000,-5.9939
10003.6500,3.7472
10003.7000,5.8618
10003.7500,-4.6173
10003.8000,-5.1733
10003.8500,4.5847
10003.9000,3.7093
10003.9500,4.7823
10004.0000,-6.0961
10004.0500,-5.2395
10004.1000,7.1926
10004.1500,3.5897
10004.2000,-2.6961
10004.2500,1.0023
10004.3000,-0.7737
10004.3500,-1.2397
10004.4000,10.6138
10004.4500,0.2031
10004.5000,5.9900
10004.5500,2.4245
10004.6000,-0.9582
10004.6500,3.5177
10004.7000,1.9908
10004.7500,-2.3231
10004.8000,0.5794
10004.8500,4.8125
10004.9000,10.8238
10004.9500,0.4751
10005.0000,-4.3747
10005.0500,5.4915
10005.1000,2.1277
10005.1500,-0.5463
10005.2000,0.5208
10005.2500,1.5700
10005.3000,-4.6296
10005.3500,-5.0575
10005.4000,5.9743
10005.4500,-0.6013
10005.5000,5.3130
10005.5500,-5.6030
10005.6000,-5.6736
